"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","Markelle Fultz",4400,"HOU@PHI 10/25/2017 07:00PM ET",12.438,"PHI"
"SG/SF","J.J. Redick",4400,"HOU@PHI 10/25/2017 07:00PM ET",20.688,"PHI"
"PF/C","Taj Gibson",4300,"MIN@DET 10/25/2017 07:00PM ET",21.333,"MIN"
"SG/SF","Lance Stephenson",4300,"IND@OKC 10/25/2017 08:00PM ET",14.917,"IND"
"SG/SF","Tyreke Evans",4300,"MEM@DAL 10/25/2017 08:30PM ET",20.917,"MEM"
"PG/SG","Tyler Johnson",4300,"SA@MIA 10/25/2017 08:00PM ET",14.917,"MIA"
"SG/SF","Kelly Oubre Jr.",4200,"WAS@LAL 10/25/2017 10:30PM ET",26.583,"WAS"
"PF","Lucas Nogueira",4200,"TOR@GS 10/25/2017 10:30PM ET",22.125,"TOR"
"PG/SG","Spencer Dinwiddie",4200,"CLE@BKN 10/25/2017 07:30PM ET",21.250,"BKN"
"PF/C","Ryan Anderson",4200,"HOU@PHI 10/25/2017 07:00PM ET",20.188,"HOU"
"SG/SF","Josh Jackson",4100,"UTA@PHO 10/25/2017 10:00PM ET",19.625,"PHO"
"PF/C","Marquese Chriss",4100,"UTA@PHO 10/25/2017 10:00PM ET",17.750,"PHO"
"PF/C","Jason Smith",4000,"WAS@LAL 10/25/2017 10:30PM ET",1.250,"WAS"
"C","Ian Mahinmi",4000,"WAS@LAL 10/25/2017 10:30PM ET",14.250,"WAS"
"PF/C","Alex Len",4000,"UTA@PHO 10/25/2017 10:00PM ET",19.583,"PHO"
"C","Tyson Chandler",4000,"UTA@PHO 10/25/2017 10:00PM ET",21.750,"PHO"
"PG","Tyler Ulis",4000,"UTA@PHO 10/25/2017 10:00PM ET",8.667,"PHO"
"PF/C","Tristan Thompson",4000,"CLE@BKN 10/25/2017 07:30PM ET",16.917,"CLE"
"SG/SF","J.R. Smith",4000,"CLE@BKN 10/25/2017 07:30PM ET",11.500,"CLE"
"PG/SG","Sean Kilpatrick",4000,"CLE@BKN 10/25/2017 07:30PM ET",0,"BKN"
"PG/SG","Jeremy Lin",4000,"CLE@BKN 10/25/2017 07:30PM ET",23.000,"BKN"
"PF/C","Kenneth Faried",4000,"DEN@CHA 10/25/2017 07:00PM ET",17.583,"DEN"
"SG/SF","Nicolas Batum",4000,"DEN@CHA 10/25/2017 07:00PM ET",0,"CHA"
"C","Cody Zeller",4000,"DEN@CHA 10/25/2017 07:00PM ET",20.250,"CHA"
"C","Jahlil Okafor",4000,"HOU@PHI 10/25/2017 07:00PM ET",24.250,"PHI"
"PG/SG","Jerryd Bayless",4000,"HOU@PHI 10/25/2017 07:00PM ET",21.000,"PHI"
"SG/SF","Bojan Bogdanovic",4000,"IND@OKC 10/25/2017 08:00PM ET",12.333,"IND"
"PG/SG","Seth Curry",4000,"MEM@DAL 10/25/2017 08:30PM ET",0,"DAL"
"SG/SF","James Ennis III",4000,"MEM@DAL 10/25/2017 08:30PM ET",21.833,"MEM"
"SF/PF","Justise Winslow",4000,"SA@MIA 10/25/2017 08:00PM ET",18.250,"MIA"
"SG","Jamal Crawford",3900,"MIN@DET 10/25/2017 07:00PM ET",16.583,"MIN"
