PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PF/C,Tarik Black (9694626),Tarik Black,9694626,PF,3300,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,PG,Bobby Brown (9694630),Bobby Brown,9694630,PG,3300,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,PF/C,Amir Johnson (9694690),Amir Johnson,9694690,PF,3300,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,SF/PF,Chandler Parsons (9694933),Chandler Parsons,9694933,SF,3300,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,PG/SG,Josh Hart (9694010),Josh Hart,9694010,PG,3200,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,SG/SF,Corey Brewer (9694022),Corey Brewer,9694022,SG,3200,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,PG,Michael Carter-Williams (9694575),Michael Carter-Williams,9694575,PG,3200,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,SG/SF,Timothe Luwawu-Cabarrot (9694694),Timothe Luwawu-Cabarrot,9694694,SG,3200,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,PG/SG,Langston Galloway (9693895),Langston Galloway,9693895,PG,3100,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,SF/PF,Nemanja Bjelica (9693948),Nemanja Bjelica,9693948,SF,3100,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,PF/C,Thomas Bryant (9694014),Thomas Bryant,9694014,PF,3100,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,SF/PF,Luol Deng (9694018),Luol Deng,9694018,SF,3100,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,PF/C,Patrick Patterson (9694801),Patrick Patterson,9694801,PF,3100,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,SF/PF,Jerami Grant (9694832),Jerami Grant,9694832,SF,3100,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,SG/SF,Alex Abrines (9694836),Alex Abrines,9694836,SG,3100,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,PF/C,Dwight Powell (9694876),Dwight Powell,9694876,PF,3100,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,PG,Gian Clavell (9694880),Gian Clavell,9694880,PG,3100,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,PF/C,Eric Moreland (9693899),Eric Moreland,9693899,PF,3000,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,SG,Luke Kennard (9693903),Luke Kennard,9693903,SG,3000,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,SF,Luis Montero (9693906),Luis Montero,9693906,SF,3000,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,SG/SF,Reggie Bullock (9693909),Reggie Bullock,9693909,SG,3000,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,PG,Dwight Buycks (9693914),Dwight Buycks,9693914,PG,3000,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,PF/C,Henry Ellenson (9693917),Henry Ellenson,9693917,PF,3000,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,SF/PF,Anthony Tolliver (9693921),Anthony Tolliver,9693921,SF,3000,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,SG/SF,Shabazz Muhammad (9693952),Shabazz Muhammad,9693952,SG,3000,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,C,Justin Patton (9693957),Justin Patton,9693957,C,3000,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,PG/SG,Tyus Jones (9693959),Tyus Jones,9693959,PG,3000,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,SG/SF,Anthony Brown (9693963),Anthony Brown,9693963,SG,3000,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,C,Cole Aldrich (9693968),Cole Aldrich,9693968,C,3000,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,SG/SF,Marcus Georges-Hunt (9693970),Marcus Georges-Hunt,9693970,SG,3000,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,PG/SG,Aaron Brooks (9693975),Aaron Brooks,9693975,PG,3000,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,PG/SG,Tyler Ennis (9694027),Tyler Ennis,9694027,PG,3000,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,C,Andrew Bogut (9694031),Andrew Bogut,9694031,C,3000,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,PG/SG,Vander Blue (9694033),Vander Blue,9694033,PG,3000,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,PG/SG,Alex Caruso (9694037),Alex Caruso,9694037,PG,3000,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,PF/C,Chris McCullough (9694074),Chris McCullough,9694074,PF,3000,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,PF,Mike Young (9694078),Mike Young,9694078,PF,3000,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,SG/SF,Carrick Felix (9694081),Carrick Felix,9694081,SG,3000,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,PF,Mike Scott (9694086),Mike Scott,9694086,PF,3000,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,SG,Sheldon Mac (9694089),Sheldon Mac,9694089,SG,3000,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,PG/SG,Tomas Satoransky (9694092),Tomas Satoransky,9694092,PG,3000,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,SG,Devin Robinson (9694096),Devin Robinson,9694096,SG,3000,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,SG,Davon Reed (9694132),Davon Reed,9694132,SG,3000,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,PF,Jared Dudley (9694135),Jared Dudley,9694135,PF,3000,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,SF/PF,Alec Peters (9694138),Alec Peters,9694138,SF,3000,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,SF,Derrick Jones Jr. (9694142),Derrick Jones Jr.,9694142,SF,3000,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,PG/SG,Brandon Knight (9694145),Brandon Knight,9694145,PG,3000,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,SG,Troy Daniels (9694152),Troy Daniels,9694152,SG,3000,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,PF/C,Dragan Bender (9694155),Dragan Bender,9694155,PF,3000,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,PG,Raul Neto (9694200),Raul Neto,9694200,PG,3000,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,PG,Nate Wolters (9694203),Nate Wolters,9694203,PG,3000,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,PF/C,Ekpe Udoh (9694206),Ekpe Udoh,9694206,PF,3000,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,SF,Royce O'Neale (9694210),Royce O'Neale,9694210,SF,3000,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,PG/SG,Dante Exum (9694213),Dante Exum,9694213,PG,3000,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,SF/PF,Eric Griffin (9694217),Eric Griffin,9694217,SF,3000,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,PF/C,Tony Bradley (9694221),Tony Bradley,9694221,PF,3000,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,C,JaVale McGee (9694263),JaVale McGee,9694263,C,3000,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,SF/PF,Omri Casspi (9694265),Omri Casspi,9694265,SF,3000,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,PG,Quinn Cook (9694269),Quinn Cook,9694269,PG,3000,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,PF/C,David West (9694272),David West,9694272,PF,3000,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,PF,Chris Boucher (9694276),Chris Boucher,9694276,PF,3000,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,C,Damian Jones (9694279),Damian Jones,9694279,C,3000,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,SF/PF,Kevon Looney (9694281),Kevon Looney,9694281,SF,3000,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,PG,Fred VanVleet (9694320),Fred VanVleet,9694320,PG,3000,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,SF,Bruno Caboclo (9694323),Bruno Caboclo,9694323,SF,3000,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,PF,Alfonzo McKinnie (9694326),Alfonzo McKinnie,9694326,PF,3000,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,PF,Malcolm Miller (9694329),Malcolm Miller,9694329,PF,3000,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,SF/PF,OG Anunoby (9694332),OG Anunoby,9694332,SF,3000,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,PG,Lorenzo Brown (9694336),Lorenzo Brown,9694336,PG,3000,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,PF,Pascal Siakam (9694339),Pascal Siakam,9694339,PF,3000,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,PF/C,Channing Frye (9694382),Channing Frye,9694382,PF,3000,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,PG,London Perrantes (9694386),London Perrantes,9694386,PG,3000,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,SG/SF,John Holland (9694389),John Holland,9694389,SG,3000,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,PG,Jose Calderon (9694394),Jose Calderon,9694394,PG,3000,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,SF/PF,Jeff Green (9694397),Jeff Green,9694397,SF,3000,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,PF/C,Ante Zizic (9694401),Ante Zizic,9694401,PF,3000,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,SG/SF,Cedi Osman (9694405),Cedi Osman,9694405,SG,3000,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,PG/SG,Isaiah Whitehead (9694458),Isaiah Whitehead,9694458,PG,3000,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,PG,Jacob Wiley (9694462),Jacob Wiley,9694462,PG,3000,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,SG,Yakuba Ouattara (9694465),Yakuba Ouattara,9694465,SG,3000,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,PF/C,Quincy Acy (9694468),Quincy Acy,9694468,PF,3000,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,C,Tyler Zeller (9694472),Tyler Zeller,9694472,C,3000,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,PG,Monte Morris (9694513),Monte Morris,9694513,PG,3000,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,PF,Darrell Arthur (9694516),Darrell Arthur,9694516,PF,3000,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,SF/PF,Trey Lyles (9694519),Trey Lyles,9694519,SF,3000,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,SG/SF,Torrey Craig (9694523),Torrey Craig,9694523,SG,3000,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,PF,Tyler Lydon (9694528),Tyler Lydon,9694528,PF,3000,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,SF/PF,Richard Jefferson (9694531),Richard Jefferson,9694531,SF,3000,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,PG,Malik Beasley (9694535),Malik Beasley,9694535,PG,3000,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,PF/C,Mangok Mathiang (9694578),Mangok Mathiang,9694578,PF,3000,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,PG/SG,Julyan Stone (9694582),Julyan Stone,9694582,PG,3000,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,PF/C,Johnny O'Bryant III (9694586),Johnny O'Bryant III,9694586,PF,3000,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,SG/SF,Treveon Graham (9694590),Treveon Graham,9694590,SG,3000,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,PG,Marcus Paige (9694595),Marcus Paige,9694595,PG,3000,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,PF/C,Zhou Qi (9694637),Zhou Qi,9694637,PF,3000,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,PG,Briante Weber (9694641),Briante Weber,9694641,PG,3000,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,SG,Troy Williams (9694644),Troy Williams,9694644,SG,3000,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,PF/C,Chinanu Onuaku (9694647),Chinanu Onuaku,9694647,PF,3000,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,PG,Demetrius Jackson (9694651),Demetrius Jackson,9694651,PG,3000,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,PF,James Michael McAdoo (9694699),James Michael McAdoo,9694699,PF,3000,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,SF/PF,Justin Anderson (9694702),Justin Anderson,9694702,SF,3000,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,PG,Jacob Pullen (9694706),Jacob Pullen,9694706,PG,3000,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,PG,T.J. McConnell (9694709),T.J. McConnell,9694709,PG,3000,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,PG/SF,Nik Stauskas (9694712),Nik Stauskas,9694712,PG,3000,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,SG/SF,Furkan Korkmaz (9694717),Furkan Korkmaz,9694717,SG,3000,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,PG,Edmond Sumner (9694761),Edmond Sumner,9694761,PG,3000,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,SG/SF,Damien Wilkins (9694764),Damien Wilkins,9694764,SG,3000,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,PF/C,Ike Anigbogu (9694769),Ike Anigbogu,9694769,PF,3000,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,PG/SG,Joe Young (9694773),Joe Young,9694773,PG,3000,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,SF/PF,TJ Leaf (9694777),TJ Leaf,9694777,SF,3000,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,SF,Alex Poythress (9694781),Alex Poythress,9694781,SF,3000,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,PF/C,Nick Collison (9694805),Nick Collison,9694805,PF,3000,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,SG/SF,Kyle Singler (9694809),Kyle Singler,9694809,SG,3000,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,PG/SG,Raymond Felton (9694814),Raymond Felton,9694814,PG,3000,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,SF,Daniel Hamilton (9694818),Daniel Hamilton,9694818,SF,3000,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,PG/SG,PJ Dozier (9694821),PJ Dozier,9694821,PG,3000,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,SG/SF,Terrance Ferguson (9694825),Terrance Ferguson,9694825,SG,3000,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,C,Dakari Johnson (9694830),Dakari Johnson,9694830,C,3000,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,SF/PF,Josh Huestis (9694841),Josh Huestis,9694841,SF,3000,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,PF/C,Johnathan Motley (9694883),Johnathan Motley,9694883,PF,3000,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,SF,Dorian Finney-Smith (9694887),Dorian Finney-Smith,9694887,SF,3000,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,C,Salah Mejri (9694890),Salah Mejri,9694890,C,3000,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,PF/C,Josh McRoberts (9694892),Josh McRoberts,9694892,PF,3000,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,PG/SG,Devin Harris (9694896),Devin Harris,9694896,PG,3000,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,C,Jeff Withey (9694900),Jeff Withey,9694900,C,3000,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,PF,Maxi Kleber (9694902),Maxi Kleber,9694902,PF,3000,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,PF,Vince Hunter (9694953),Vince Hunter,9694953,PF,3000,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,PF/C,Ivan Rabb (9694956),Ivan Rabb,9694956,PF,3000,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,SG,Kobi Simmons (9694960),Kobi Simmons,9694960,SG,3000,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,PG/SG,Wayne Selden Jr. (9694963),Wayne Selden Jr.,9694963,PG,3000,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,PF/C,Deyonta Davis (9694967),Deyonta Davis,9694967,PF,3000,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,SG/SF,Rodney McGruder (9695006),Rodney McGruder,9695006,SG,3000,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,SG,Matt Williams (9695011),Matt Williams,9695011,SG,3000,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,SF/PF,Okaro White (9695014),Okaro White,9695014,SF,3000,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,PG,Derrick Walton Jr. (9695018),Derrick Walton Jr.,9695018,PG,3000,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,PF/C,Bam Adebayo (9695021),Bam Adebayo,9695021,PF,3000,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,PF/C,Jordan Mickey (9695025),Jordan Mickey,9695025,PF,3000,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,PF/C,Udonis Haslem (9695029),Udonis Haslem,9695029,PF,3000,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,C,A.J. Hammons (9695033),A.J. Hammons,9695033,C,3000,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,PF/C,Joffrey Lauvergne (9695075),Joffrey Lauvergne,9695075,PF,3000,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,SG,Brandon Paul (9695079),Brandon Paul,9695079,SG,3000,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,PG/SG,Bryn Forbes (9695082),Bryn Forbes,9695082,PG,3000,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,PG/SG,Derrick White (9695086),Derrick White,9695086,PG,3000,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,PF,Matt Costello (9695090),Matt Costello,9695090,PF,3000,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,SF/PF,Davis Bertans (9695093),Davis Bertans,9695093,SF,3000,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,SG/SF,Darrun Hilliard (9695097),Darrun Hilliard,9695097,SG,3000,SA@MIA 10/25/2017 08:00PM ET,SA,
